n.id,name_node_a,id_node_b,name_node_b,id_relationship
e8173ce541b175489ea47a083af3b629-a87ff679a2f3e71d9181a67b7542122c,AWS,e75155594a0fd8405cde512bd9aaedad-a87ff679a2f3e71d9181a67b7542122c,DynamoDB,e6217d8a8844ba460b9135e3426d937b-a87ff679a2f3e71d9181a67b7542122c
e8173ce541b175489ea47a083af3b629-a87ff679a2f3e71d9181a67b7542122c,AWS,886f0d10fd11a0fb8f50aa3b4eb4b2ba-a87ff679a2f3e71d9181a67b7542122c,EC2,e2ba7c8e837c0bf3137baee8cf8a21ac-a87ff679a2f3e71d9181a67b7542122c
e8173ce541b175489ea47a083af3b629-a87ff679a2f3e71d9181a67b7542122c,AWS,d37772bf703931e76d906eaafe580293-a87ff679a2f3e71d9181a67b7542122c,S3,5b7516bd52c16ed29d54065a82e35b78-a87ff679a2f3e71d9181a67b7542122c
27335c011ef4cfdd7ba4cd9a41abc2c2-a87ff679a2f3e71d9181a67b7542122c,Cloud Computing,a58efbe1a239da9280f6c0fe19958655-a87ff679a2f3e71d9181a67b7542122c,Google cloud,b8e7d66205f7dcf57049546eb7dfefb6-a87ff679a2f3e71d9181a67b7542122c
27335c011ef4cfdd7ba4cd9a41abc2c2-a87ff679a2f3e71d9181a67b7542122c,Cloud Computing,b77f4a93e3e4fd6820501aed31048308-a87ff679a2f3e71d9181a67b7542122c,Azure,eac9f83e6bc8e85a6d9035d36cc27227-a87ff679a2f3e71d9181a67b7542122c
27335c011ef4cfdd7ba4cd9a41abc2c2-a87ff679a2f3e71d9181a67b7542122c,Cloud Computing,e8173ce541b175489ea47a083af3b629-a87ff679a2f3e71d9181a67b7542122c,AWS,2002ca2b94ea55557d088311e363206f-a87ff679a2f3e71d9181a67b7542122c
27335c011ef4cfdd7ba4cd9a41abc2c2-a87ff679a2f3e71d9181a67b7542122c,Cloud Computing,a1e01b9df0dab2bfd6d9b32e10e397c8-a87ff679a2f3e71d9181a67b7542122c,Busqueda Skill,9060b9865efccfd9f49fe876f92e13b1-a87ff679a2f3e71d9181a67b7542122c
4b6686dc62b2efb082628b573f476915-a87ff679a2f3e71d9181a67b7542122c,Procesamiento,7e978e6cfaa3e6de95722312e007357f-a87ff679a2f3e71d9181a67b7542122c,Hadoop,66f90cb62e0c3270432c8b8ee5ba637c-a87ff679a2f3e71d9181a67b7542122c
4b6686dc62b2efb082628b573f476915-a87ff679a2f3e71d9181a67b7542122c,Procesamiento,5078d453a4b43715999369d2fea190f1-a87ff679a2f3e71d9181a67b7542122c,Spark,cbeda984dd0425f973fb4fa930ab1a60-a87ff679a2f3e71d9181a67b7542122c
4b6686dc62b2efb082628b573f476915-a87ff679a2f3e71d9181a67b7542122c,Procesamiento,a1e01b9df0dab2bfd6d9b32e10e397c8-a87ff679a2f3e71d9181a67b7542122c,Busqueda Skill,db5befc893dc9fee893f4e8e41b700d4-a87ff679a2f3e71d9181a67b7542122c
92ebfaaad61aaeb62de0c6dcbd45f337-a87ff679a2f3e71d9181a67b7542122c,Equipo,3fc029dc4a84cdaacb64a8f90a5e67c5-a87ff679a2f3e71d9181a67b7542122c,Ideas IA,33589a1a9408cdc8343905b1a19cb735-a87ff679a2f3e71d9181a67b7542122c
